split,cluster,band,cost,direction,retained,contracts,events,trades
test,12,1,17,N,False,2,2,3
test,12,1,17,Y,False,5,5,7
test,12,1,18,N,False,2,2,2
test,12,1,18,Y,False,7,7,8
test,12,1,19,N,False,3,3,3
test,12,1,19,Y,False,5,5,8
test,12,1,20,N,False,3,3,3
test,12,1,20,Y,False,6,6,8
test,12,2,21,Y,False,8,7,10
test,12,2,22,N,False,3,3,3
test,12,2,22,Y,False,8,7,18
test,12,2,23,N,False,3,3,3
test,12,2,23,Y,False,7,7,13
test,12,2,24,N,True,5,5,8
test,12,2,24,Y,True,7,7,13
test,12,2,25,N,False,1,1,1
test,12,2,25,Y,False,8,8,18
test,12,2,26,N,True,7,7,9
test,12,2,26,Y,True,7,7,18
test,12,2,27,N,False,4,4,5
test,12,2,27,Y,False,8,8,22
test,12,2,28,N,True,10,10,10
test,12,2,28,Y,True,7,7,43
test,12,2,29,N,False,4,4,5
test,12,2,29,Y,False,6,5,54
test,12,2,30,N,True,7,7,7
test,12,2,30,Y,True,10,10,47
test,12,3,31,N,False,4,4,5
test,12,3,31,Y,False,4,4,28
test,12,3,32,N,False,10,10,13
